id,marca,anio,color,precio
1,BMW,2003,Green,41448.64
2,Infiniti,2012,Fuscia,30438.48
3,Lexus,2004,Fuscia,43125.83
4,BMW,2002,Puce,37776.34
5,Buick,2008,Fuscia,41349.95
6,Audi,2008,Red,41916.93
7,BMW,1998,Violet,37762.86
8,Mercury,2007,Aquamarine,31866.48
9,BMW,2009,Red,48358.95
10,Suzuki,2001,Fuscia,49456.56
11,Chevrolet,2006,Indigo,47987.99
12,Cadillac,1999,Yellow,46826.05
13,Pontiac,1968,Blue,33378.47
14,Mitsubishi,1995,Mauv,45156.63
15,Acura,2012,Goldenrod,49544.94
16,Chevrolet,1995,Red,49411.91
17,Mazda,1992,Violet,30785.57
18,Cadillac,2003,Orange,42959.25
19,Dodge,1996,Khaki,42904.84
20,Chevrolet,2001,Khaki,31117.99
21,Chrysler,1995,Mauv,49104.47
22,BMW,2008,Turquoise,34347.40
23,Chevrolet,2009,Red,38453.72
24,Chevrolet,2000,Yellow,34856.40
25,Toyota,2007,Red,48656.81
26,Audi,2009,Green,37437.89
27,Mercury,2009,Pink,48566.86
28,Acura,2002,Puce,46336.15
29,Mercedes-Benz,2005,Yellow,40543.39
30,Dodge,2005,Red,35704.36
31,GMC,2000,Yellow,34567.89
32,Chevrolet,1994,Blue,36521.40
33,Chevrolet,2002,Mauv,46595.15
34,Ford,2008,Aquamarine,32124.78
35,Audi,2007,Blue,34762.82
36,Mercury,1999,Pink,42483.59
37,Mercury,2002,Pink,42627.78
38,Dodge,2002,Pink,33262.91
39,Jaguar,2008,Purple,36141.07
40,Toyota,1993,Blue,49672.16
41,Ford,2011,Orange,38517.37
42,Subaru,2007,Khaki,42511.52
43,Mazda,1999,Violet,47306.10
44,Chevrolet,1975,Teal,32109.05
45,Mazda,2009,Green,44246.79
46,Cadillac,2008,Green,37507.08
47,Land Rover,2000,Mauv,31857.85
48,Kia,2001,Fuscia,45572.01
49,Pontiac,2010,Red,46791.62
50,Aston Martin,2011,Violet,40784.68
